image_name,generated_response,expected_caption
ROCOv2_2023_train_000001.jpg,"pneumomediastinum. Axial contrast-enhanced CT image shows pneumomediastinum (arrow) with air in the subcutaneous layer of the right parotid gland, which is also hyperdense and hypo-attenuating on the axial plane. The subcutaneous air extends",Head CT demonstrating left parotiditis.
ROCOv2_2023_train_000002.jpg,"pulmonary artery. The pulmonary artery is dilated and the left ventricle is hypertrophied, with a large amount of blood in it. There are no signs of aortic dissection or thrombus formation. 2D-TEE: 2D-transesophageal echocardiography; 3D-",Acquired renal cysts in end-stage renal failure: 16-year-old girl with Alport syndrome and peritoneal dialysis from the age of 2 years
ROCOv2_2023_train_000003.jpg,"pneumomediastinum (arrow) in a 60-year-old male patient with a history of left upper lobe lung cancer. The X‐ray shows pneumomediastinal lymphadenopathy and subcutaneous emphysema, which is also present on the right side (",Computed tomography of the chest showing the right breast nodule with irregular margins
ROCOv2_2023_train_000004.jpg,"pulley system. The pulleys were placed in the L4-L5 intervertebral space and the L3-S1 intervertebral space, and the pulley system was used to fix the L2-S1 intervertebral disk with a 90° angle.",Lateral view of the sacrum showing the low contrast between bone and soft tissue.
ROCOv2_2023_train_000005.jpg,pneumonia with consolidation and airspace disease in the right upper lobe. Coronal CT image shows bilateral pleural effusion (red arrows). CT: computed tomography; PM: pulmonary embolism. PM: pneumothorax; COVID-19: coronavirus disease ,Thoracic CT scan showing perihilar pulmonary lymphadenomegaly
ROCOv2_2023_train_000006.jpg,"pancreatic mass with multiple calcifications. CT scan of the abdomen showing a well-defined, heterogeneous lesion measuring 3 cm in diameter and containing multiple calcific nodules (arrow). The lesion was not detected on the initial examination by the radiologist. No other abnormalities were noted.CT:",5.1 cm x 3.4 cm x 4 cm multiloculated hepatic abscess in the inferior posterior aspect of the right lobe
ROCOv2_2023_train_000007.jpg,"pneumatosis intestinalis in the liver. Axial contrast-enhanced CT image shows a large, lobulated mass with central hypodense areas and peripheral rim enhancement (arrow) in the left lobe of the liver. The lesion is located between the right hepatic lobe and the spleen. This finding was",Repeat CT abdomen and pelvis showing resolution of collection with no new abscess
ROCOv2_2023_train_000008.jpg,"pituitary abscess. Computed tomography (CT) scan of the head showing a large, well-defined, cystic lesion with peripheral calcification in the left pons and bilateral cerebellar hemispheres. The lesion is surrounded by an area of calcifications consistent with a pituitary abscess. There are no",Computed tomography of the head on Day 0 shows mild to moderate hydrocephalus with the presence of a right posterior parietal VP shunt tube that traverses the right lateral ventricle.
ROCOv2_2023_train_000009.jpg,"pituitary abscess. Computed tomography (CT) of the brain showing a large, well-defined, and cystic mass in the right pons with associated hydrocephalus. The lesion is surrounded by an area of calcification. CT: computed tomography; P: pituitary gland; HU",Computed tomography of the head on Day 22 shows dilated left lateral ventricle with parenchymal hemorrhage in the right frontal lobe (black arrows) and intraventricular hemorrhage (white arrow) despite ventriculostomy tubes.
ROCOv2_2023_train_000010.jpg,"pneumocystis carinarin pneumonia. Coronal CT image showing pneumonitis in the left maxillary sinus with air-fluid levels and a small right orbital effusion (arrow). Note also the presence of air behind the nasal septum, which is consistent with pneumomediastinum",Preop CT showing left orbital floor fracture
ROCOv2_2023_train_000011.jpg,"pneumomediastinum. Sagittal CT image of the chest showing pneumo-mediastinal air (arrows) and subcutaneous emphysema in the neck region, which is also seen on sagital computed tomography.CT: computed tomography; PM: pneum",Postop 22-month CT scan (sagittal): Posteriorly the graft seated in a sound bone
ROCOv2_2023_train_000012.jpg,"pituitary MRI. The pituitary tumor is located in the right paramedian region of the brain and shows a hyperintense signal on T1-weighted images (arrow).MRI: magnetic resonance imaging; T1-WI: T1 weighted image, MRI: Magnetic Resonance Imaging. ",Enhanced magnetic resonance imaging of head revealed bilateral cerebral and cerebellar hemispheres abnormal meningeal enhancement.
ROCOv2_2023_train_000013.jpg,psoas muscle (red arrow) and the arrowhead pointing to the superior endplate of the L4 vertebra. The arrow indicates the level at which the L3 vertebral body is located in the lumbar spine.Lumbar spine: lumbosacral region; sagittal,"Enhanced magnetic resonance imaging of spinal cord delineated multiple enhancement nodules in spinal cord, cauda equina, and cristae membrane (arrow)."
ROCOv2_2023_train_000014.jpg,psoas abscess. Sagittal T2-weighted MRI of the lumbar spine showing a 3 cm×10 mm–4 cm–6 cm–7–8–9–10–11–12–13–1,"Sagittal T2-SPAIR image illustrating the ""fluid sign (arrow)"" in the acute osteoporotic compression fracture."
ROCOv2_2023_train_000015.jpg,"pneumatosis intestinalis in the colon. Axial CT image showing a large, well-defined mass (arrow) with peripheral rim enhancement at the level of the transverse colon and mesenteric fat stranding. The colon wall is thickened and distended with air bubbles consistent with pneumatisation.",CT demonstrating partially obstructed airway.CT: computed tomography.
ROCOv2_2023_train_000016.jpg,"pneumatosis intestinalis in the right upper lobe of the lung. Axial contrast-enhanced CT image shows a large, well-defined mass (arrow) with peripheral rim enhancement and central necrosis involving the right upper lobe of the lung. Note also that there is no pleural effusion or abscess",CT demonstrating the minimum diameter of the patient's airway.CT: computed tomography.This CT image demonstrates the minimum luminal airway dimension found which was 8 mm x 3 mm. 
ROCOv2_2023_train_000017.jpg,"prenatal ultrasound showing a 10-mm mass in the left side of the face. The mass is located between the nasal bones and extends to the level of the maxillary sinus (arrow). The mass has no calcifications or ossification, but contains some calcific deposits. A",Strawberry skull.
ROCOv2_2023_train_000018.jpg,"prenatal ultrasound showing a large mass in the right side of the bladder. The mass is 10 mm in diameter and has an echogenic component (arrow). The mass was not detected by the normal Doppler flow imaging modality. The mass had no obvious vascularity or calcification, but",Hypotelorism.
ROCOv2_2023_train_000019.jpg,"prenatal ultrasound showing a 10.5 × 9.2 cm cystic mass in the right side of the abdomen (arrow). The mass was detected by the sonographer as an intrauterine pregnancy at 34 weeks’ gestation, and it had been confirmed to be a cystic",Low set ears.
ROCOv2_2023_train_000020.jpg,"pulmonary hypertension. Transesophageal echocardiography shows a large pulmonary artery (PA) aneurysm with an intracardiac thrombus and severe pulmonary congestion in the right ventricle. The patient was treated by PCI, but he died of pulmonary edema due to severe pulmonary hypertension after PCI treatment. PA: pulmonary",Atrial septal defect.
ROCOv2_2023_train_000021.jpg,"prenatal ultrasound image of the fetus with a 10-week fetal heart rate. The arrow indicates the location of the heart rhythm in the fetal face, which is normal for this patient (not shown). The arrowhead indicates the location of the heart rhythm at the level of the third cervical",Single umbilical artery seen on axial section.
ROCOv2_2023_train_000022.jpg,"prenatal ultrasound of the fetus with a large cystic mass in the right kidney. The mass is 12 mm × 9 mm and shows a homogeneous echogenicity, without any calcifications or vascularity. The mass was detected by the sonographer as an intra-","Abdominopelvic ultrasound scan showed ectopic kidneys at the hemi-pelvis, fused in their upper poles, normal size and texture of the kidneys with normal corticomedullary differentiation, no stones or obstructive changes"
ROCOv2_2023_train_000023.jpg,"pneumatosis intestinalis. Axial CT image showing pneumatised bowel loops with air-fluid levels (arrows). The colon is not dilated and the mesenteric fat planes are intact, suggesting a normal colon wall without any evidence of intussusception or diverticulitis. Note also","Computed tomography urography. The right kidney is ectopically placed in the pelvis, measures 9.6 cm bipolar length, and is medially and inferiorly faced. The left kidney is also ectopically placed in the pelvis, measures 9.3 cm in bipolar length, is mal-rotated as the pelvis faces upward and laterally, both kidneys are partially fused at their upper poles"
ROCOv2_2023_train_000024.jpg,pulmonary artery (PA) and right coronary artery (RCA). A 10-mm aneurysm of the right coronary artery is seen in the right coronary artery. The arrow indicates the origin of the right coronary artery from the right pulmonary artery. RCA: Right coronary artery; PA: Pulmonary artery,"Left coronary angiography showing the presence of two coronary arteriovenous fistulas (CAFs), originating from the left anterior descending (LAD) and circumflex (Cx) coronary arteries draining into the pulmonary artery"
ROCOv2_2023_train_000025.jpg,"pulmonary angiogram showing the right pulmonary artery (RPA) and aorta (Ao). The RPA is dilated with a diameter of 2.5 cm, and the AOA is dilated to 10 mm in this case. The RPA was also found to be occluded by",Right coronary angiography showing the presence of the right coronary sinus of Valsalva (RCSV) with a coronary arteriovenous fistula (CAFs) draining into the pulmonary artery
ROCOv2_2023_train_000026.jpg,"pneumatosis intestinalis in the liver. Axial contrast-enhanced CT image shows a large, lobulated mass (arrow) with central necrosis and surrounding gas bubbles in the right lobe of the liver. The mass is located between the right hepatic lobe and the left hepatic lobe. Note that there are",Previous CT scan of abdomen showing two pseudocysts in the pancreatic tail (white arrows).
